127.0.0.1 - - [18/Aug/2021:00:00:42 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:00:42 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 200 372
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:10 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:11 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:13 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:13 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:22 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:29 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:31 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:52 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:10:56 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:15:24 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 200 655
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:15:27 +0530] "GET /Coforge/message.html HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:15:42 +0530] "GET /Coforge/message.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:17:44 +0530] "GET /Coforge/message.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:17:52 +0530] "GET /Coforge/message.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:17:57 +0530] "GET /Coforge/message.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:19:33 +0530] "GET /Coforge/message.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:19:37 +0530] "GET /Coforge/NewFile.html HTTP/1.1" 200 707
0:0:0:0:0:0:0:1 - - [18/Aug/2021:00:19:40 +0530] "GET /Coforge/message.html HTTP/1.1" 304 -
